top,bottom,flicker
1793HighNoise.jpg,1865lowNoise.jpg,0
1962HighNoise.jpg,1551lowNoise.jpg,0
1427HighNoise.jpg,0413lowNoise.jpg,0
0119HighNoise.jpg,2196lowNoise.jpg,0
1252HighNoise.jpg,1482lowNoise.jpg,0
1878HighNoise.jpg,0601lowNoise.jpg,0
1415HighNoise.jpg,1606lowNoise.jpg,0
1201HighNoise.jpg,0237lowNoise.jpg,0
1656HighNoise.jpg,0364lowNoise.jpg,0
0970HighNoise.jpg,1265lowNoise.jpg,0
1822HighNoise.jpg,0201lowNoise.jpg,0
0241HighNoise.jpg,0234lowNoise.jpg,0
1611HighNoise.jpg,2009lowNoise.jpg,0
2128HighNoise.jpg,1012lowNoise.jpg,0
0985HighNoise.jpg,0850lowNoise.jpg,0
2190HighNoise.jpg,0738lowNoise.jpg,0
0070HighNoise.jpg,1224lowNoise.jpg,0
1506HighNoise.jpg,0871lowNoise.jpg,0
0680HighNoise.jpg,1471lowNoise.jpg,2
0563HighNoise.jpg,2020lowNoise.jpg,2
1880HighNoise.jpg,1468lowNoise.jpg,2
1548HighNoise.jpg,1988lowNoise.jpg,2
2105HighNoise.jpg,0042lowNoise.jpg,2
0756HighNoise.jpg,0809lowNoise.jpg,2
1894HighNoise.jpg,0543lowNoise.jpg,2
0649HighNoise.jpg,1223lowNoise.jpg,2
0989HighNoise.jpg,0979lowNoise.jpg,2
1876HighNoise.jpg,1562lowNoise.jpg,2
1728HighNoise.jpg,1951lowNoise.jpg,2
1814HighNoise.jpg,1795lowNoise.jpg,2
0339HighNoise.jpg,0223lowNoise.jpg,2
0433HighNoise.jpg,1381lowNoise.jpg,2
1689HighNoise.jpg,1778lowNoise.jpg,2
0699HighNoise.jpg,0814lowNoise.jpg,2
0194HighNoise.jpg,1584lowNoise.jpg,2
0583HighNoise.jpg,1744lowNoise.jpg,2
1665HighNoise.jpg,1263lowNoise.jpg,1
1250HighNoise.jpg,0473lowNoise.jpg,1
0917HighNoise.jpg,2036lowNoise.jpg,1
0515HighNoise.jpg,0885lowNoise.jpg,1
1782HighNoise.jpg,1177lowNoise.jpg,1
0580HighNoise.jpg,1601lowNoise.jpg,1
0599HighNoise.jpg,1515lowNoise.jpg,1
0940HighNoise.jpg,2123lowNoise.jpg,1
2137HighNoise.jpg,2008lowNoise.jpg,1
2064HighNoise.jpg,1517lowNoise.jpg,1
2120HighNoise.jpg,1593lowNoise.jpg,1
1452HighNoise.jpg,0648lowNoise.jpg,1
1349HighNoise.jpg,0091lowNoise.jpg,1
0431HighNoise.jpg,1610lowNoise.jpg,1
1957HighNoise.jpg,0780lowNoise.jpg,1
0139HighNoise.jpg,0096lowNoise.jpg,1
1721HighNoise.jpg,1364lowNoise.jpg,1
0753HighNoise.jpg,0334lowNoise.jpg,1
1541HighNoise.jpg,0687lowNoise.jpg,3
0388HighNoise.jpg,0434lowNoise.jpg,3
0759HighNoise.jpg,1148lowNoise.jpg,3
1746HighNoise.jpg,0308lowNoise.jpg,3
0446HighNoise.jpg,0626lowNoise.jpg,3
0405HighNoise.jpg,1408lowNoise.jpg,3
1317HighNoise.jpg,0819lowNoise.jpg,3
1051HighNoise.jpg,0536lowNoise.jpg,3
0150HighNoise.jpg,0994lowNoise.jpg,3
0757HighNoise.jpg,1291lowNoise.jpg,3
0133HighNoise.jpg,1915lowNoise.jpg,3
1856HighNoise.jpg,0924lowNoise.jpg,3
0312HighNoise.jpg,1909lowNoise.jpg,3
1490HighNoise.jpg,1508lowNoise.jpg,3
1267HighNoise.jpg,0624lowNoise.jpg,3
0122HighNoise.jpg,0538lowNoise.jpg,3
2054HighNoise.jpg,1483lowNoise.jpg,3
1394HighNoise.jpg,0415lowNoise.jpg,3
0038HighNoise.jpg,0594MedNoise.jpg,0
1986HighNoise.jpg,0818MedNoise.jpg,0
1342HighNoise.jpg,1153MedNoise.jpg,0
1939HighNoise.jpg,1708MedNoise.jpg,0
1511HighNoise.jpg,1235MedNoise.jpg,0
1007HighNoise.jpg,0396MedNoise.jpg,0
0419HighNoise.jpg,0686MedNoise.jpg,0
0001HighNoise.jpg,2043MedNoise.jpg,0
0287HighNoise.jpg,1600MedNoise.jpg,0
0191HighNoise.jpg,1145MedNoise.jpg,0
1339HighNoise.jpg,1219MedNoise.jpg,0
0661HighNoise.jpg,1036MedNoise.jpg,0
